Municipality,Population Density
Belgique,372.4874907464951
Région flamande,483.58191173439934
Région wallonne,214.9996438803905
Région de Bruxelles-Capitale,7440.8518702924
Province d’Anvers,646.0042576458752
Arrondissement d’Anvers,1046.9818950113468
Aartselaar,1297.5286948747753
Anvers,2574.412292440686
Boechout,640.5592498474651
Boom,2469.693327008839
Borsbeek,2782.1716472255566
Brasschaat,983.5501458425554
Brecht,320.0398901708126
Edegem,2530.7560907681486
Essen,400.2195131923918
Hemiksem,2109.603761697816
Hove (Anvers),1350.096799863478
Kalmthout,314.68267446238076
Kapellen (Anvers),721.3712340257243
Kontich,887.1288879164013
Lint,1542.5881188865126
Mortsel,3352.758668176708
Niel,1973.5190244151797
Ranst,435.2131390407067
Rumst,749.4703047845907
Schelle,1095.6458432215436
Schilde,544.4418984333278
Schoten,1170.3226492440251
Stabroek,872.4637116182415
Wijnegem,1243.9677196966625
Wommelgem,990.3279636747857
Wuustwezel,234.54345490159412
Zandhoven,324.9581776954146
Zoersel,567.2204726060091
Zwijndrecht,941.4338804742581
Malle,299.8483935999508
Arrondissement de Malines,673.5707542000555
Berlaar,470.2163219440253
Bonheiden,514.0479615994872
Bornem,461.90564724296416
Duffel,773.773027168542
Heist-op-den-Berg,492.40933264108446
Lierre,726.9852753888505
Malines,1316.3091933945216
Nijlen,585.359727005915
Putte,506.2834180831866
Sint-Katelijne-Waver,575.0798050459547
Willebroek,967.3476837740349
Puurs-Sint-Amands,526.6485659794183
Arrondissement de Turnhout,339.5906994435893
Arendonk,241.04125907202652
Baerle-Duc,372.20557561255123
Balen,309.89656417769726
Beerse,484.1372370043727
Dessel,349.6902228464522
Geel,365.9562805898795
Grobbendonk,393.1954314180457
Herentals,587.6339681672442
Herenthout,383.7731512286459
Herselt,277.27659058733894
Hoogstraten,202.6198100994575
Hulshout,599.8534088091327
Kasterlee,258.1439575376922
Lille,277.2149844552314
Meerhout,283.5800707119127
Merksplas,192.75582373618525
Mol,321.48341255153133
Olen,540.6776366217372
Oud-Turnhout,348.79510210183895
Ravels,157.7604304487406
Retie,234.96032776512132
Rijkevorsel,257.40462502325124
Turnhout,787.5812001348678
Vorselaar,284.59914241564104
Vosselaar,945.2454710473264
Westerlo,452.2086523322908
Laakdal,379.4763466814451
Province du Brabant flamand,541.0701387761031
Province du Brabant wallon,367.85130474287297
Arrondissement de Bruxelles-Capitale,7440.8518702924
Anderlecht,6683.436016570749
Auderghem,3791.0050872562015
Berchem-Sainte-Agathe,8541.737271101694
Bruxelles,5494.241531424213
Etterbeek,15232.03605779148
Evere,8143.1611524241125
Forest (Bruxelles-Capitale),8929.075642622507
Ganshoren,10232.118959168907
Ixelles,13560.51149582544
Jette,10124.427783668405
Koekelberg,18514.79204748004
Molenbeek-Saint-Jean,16228.482216805809
Saint-Gilles,19892.22653085695
Saint-Josse-ten-Noode,23324.26651353312
Schaerbeek,16878.804438382722
Uccle,3631.0100609820233
Watermael-Boitsfort,1940.6747204462074
Woluwe-Saint-Lambert,7764.8380559838515
Woluwe-Saint-Pierre,4678.100930832918
Arrondissement de Hal-Vilvorde,671.5780404586891
Asse,660.233054821366
Beersel,830.5814491174377
Biévène,112.20547103274664
Dilbeek,1032.9563385433337
Gammerages,247.8297961859204
Gooik,228.0752414501009
Grimbergen,970.8329628900381
Hal (Hal-Vilvorde),879.0163002835284
Herne,149.23719195030932
Hoeilaart,551.4247005241725
Kampenhout,355.7837157151409
Kapelle-op-den-Bos,612.5287873237971
Liedekerke,1306.6874583459587
Londerzeel,513.2707832303
Machelen (Hal-Vilvorde),1345.8048585565098
Meise,553.5065714897322
Merchtem,449.37966880423033
Opwijk,730.3041166671244
Overijse,564.1072855089914
Pepingen,124.65115279773931
Sint-Pieters-Leeuw,841.7189431395835
Steenokkerzeel,513.5068378502822
Ternat,637.1966648869188
Vilvorde,2073.244150815846
Zaventem,1239.5156641592032
Zemst,540.3348591003639
Roosdaal,530.638305734986
Drogenbos,2279.6961580567963
Kraainem,2352.5001267917037
Linkebeek,1115.031585400176
Rhode-Saint-Genèse,808.050427057749
Wemmel,1879.764597983314
Wezembeek-Oppem,2076.9091489901907
Lennik,291.5422575787091
Affligem,738.0620225410213
Arrondissement de Louvain,435.1205755838136
Aarschot,477.74787920553774
Begijnendijk,572.8620292331822
Bekkevoort,169.1487533997062
Bertem,333.6706495634256
Bierbeek,258.7717010983849
Boortmeerbeek,666.4975039625875
Boutersem,264.6303720214354
Diest,408.7508658362916
Geetbets,172.25221260191333
Haacht,474.4283077054063
Herent,662.3677628218736
Hoegaarden,201.76818786675238
Holsbeek,258.38808337576614
Huldenberg,248.36117547809778
Keerbergen,693.7079982750694
Kortenaken,159.27011854126047
Kortenberg,584.3736542605822
Landen,299.26058377520593
Louvain,1767.1423098357056
Lubbeek,321.5680310090621
Oud-Heverlee,356.3536897599272
Rotselaar,451.2598878866535
Tervuren,667.626649195187
Tirlemont,480.6168231498702
Tremelo,680.7671991628855
Léau,181.03157169262258
Linter,197.13065203464924
Montaigu-Zichem,450.2276632122689
Tielt-Winge,241.35840020097402
Glabbeek,195.3335189205583
Arrondissement de Nivelles,367.85130474287297
Beauvechain,187.79433287366112
Braine-l’Alleud,764.7576404703595
Braine-le-Château,463.65810908540465
Chaumont-Gistoux,244.13596705509488
Court-Saint-Etienne,392.17971326528163
Genappe,170.74770694252408
Grez-Doiceau,246.03181446249098
Incourt,141.02443470007097
Ittre,196.6716892316669
Jodoigne,191.54486801889956
La Hulpe,473.229626249776
Mont-Saint-Guibert,415.0181121145982
Nivelles,472.34428641442554
Perwez (Nivelles),181.80561054107486
Rixensart,1284.587349234814
Tubize,800.4791462564776
Villers-la-Ville,222.81494263379255
Waterloo,1422.219687829156
Wavre,816.9116190263932
Chastre,242.22396762288804
Hélécine,209.2148883038043
Lasne,299.4303444905752
Orp-Jauche,175.67610743322345
Ottignies-Louvain-la-Neuve,941.3982508010328
Ramillies,132.89240169660522
Rebecq,279.6734512506299
Walhain,188.73064056786518
Province de Flandre occidentale,374.0865656451954
Arrondissement de Bruges,419.1911059170702
Beernem,217.65053161863798
Blankenberge,1074.3590974311114
Bruges,839.2314953107972
Damme,121.6577310632847
Jabbeke,257.4266856133203
Oostkamp,295.8783304556425
Torhout,451.3700746030053
Zedelgem,376.2795135947072
Zuienkerke,55.6346683765859
Knokke-Heist,537.8952444546014
Arrondissement de Dixmude,141.14922142829107
Dixmude,111.05485443201233
Houthulst,180.33432891645782
Koekelare,222.5149651898572
Kortemark,227.5858636491167
Lo-Reninge,51.90743662750239
Arrondissement d’Ypres,191.9375702478161
Ypres,265.05986960408427
Messines,296.13670893960256
Poperinge,163.68141518576056
Wervik,428.72520557884184
Zonnebeke,183.29922449198386
Heuvelland,83.4350293357099
Langemark-Poelkapelle,147.36529918303196
Vleteren,95.68224969577918
Arrondissement de Courtrai,715.7723313729792
Anzegem,347.45638715198083
Avelgem,459.1863649766743
Deerlijk,703.6665527660675
Harelbeke,957.8878053411958
Courtrai,950.912057072915
Kuurne,1333.3757882926757
Lendelede,433.1214376948745
Menin,1006.6783922008763
Waregem,859.9596808220518
Wevelgem,802.4559454726509
Zwevegem,387.6513060151106
Espierres-Helchin,189.44869689530663
Arrondissement d’Ostende,516.0999276619633
Bredene,1269.673091631174
Gistel,284.50441272698646
Ichtegem,306.92535223725537
Middelkerke,244.61036494927782
Ostende,1745.7849551595964
Oudenburg,263.35836234388097
De Haan,274.5216591216919
Arrondissement de Roulers,559.8812732530216
Hooglede,262.08517875904465
Ingelmunster,669.4040234371765
Izegem,1092.9333073122264
Ledegem,390.4590102413834
Lichtervelde,341.2141727507799
Moorslede,317.37158327627225
Roulers,1042.2946044358366
Staden,245.33079801353162
Arrondissement de Tielt,279.9578257344333
Dentergem,327.9079107333094
Meulebeke,368.0689041256762
Oostrozebeke,474.29261665957006
Pittem,194.2764844433206
Ruiselede,174.9799849088744
Tielt (Tielt),297.7987685900359
Wielsbeke,439.95455430541
Wingene,208.08506245411348
Ardooie,259.2711554569635
Arrondissement de Furnes,213.9579382436057
Alveringem,62.533737180429
La Panne,419.71358978975337
Koksijde,435.0909531722787
Nieuport,349.2696909316382
Furnes,122.4490505528174
Province de Flandre orientale,503.8330156231147
Arrondissement d’Alost,615.7913576436296
Alost (Alost),1099.0502982349174
Denderleeuw,1466.8333953348956
Grammont,417.7122537318066
Haaltert,610.3989135272792
Herzele,376.33837644572276
