Province,total_income
Anvers,1197960975.5600002
Anvers,30838032851.839996
Anvers,1118282921.71
Anvers,1157248873.6799998
Anvers,726717170.4799999
Anvers,3054359109.63
Anvers,2276922339.0099998
Anvers,1817373977.1499999
Anvers,1313272826.6100001
Anvers,815542418.9599999
Anvers,780309332.0
Anvers,1495366962.4199998
Anvers,2332659748.26
Anvers,1788382449.7400002
Anvers,715687051.8299999
Anvers,1940081113.26
Anvers,720335901.36
Anvers,1534105991.17
Anvers,1180545120.21
Anvers,642571973.3899999
Anvers,1836136379.2200003
Anvers,2643709969.13
Anvers,1444298324.21
Anvers,749290770.05
Anvers,952145963.59
Anvers,1504282928.27
Anvers,1002453532.4599998
Anvers,1770592995.0000002
Anvers,1347495945.7
Anvers,1168746852.01
Anvers,839556497.2600002
Anvers,1372228898.28
Anvers,1720662691.9499998
Anvers,1342729895.67
Anvers,3166845213.77
Anvers,2697864226.9900002
Anvers,6060279861.43
Anvers,1690138053.8199997
Anvers,1395666596.33
Anvers,1640498371.63
Anvers,1810658407.9900002
Anvers,2063324908.52
Anvers,864827144.2900001
Anvers,180043835.86
Anvers,1582459859.0
Anvers,1350258951.8799999
Anvers,645733693.8900001
Anvers,2970903936.18
Anvers,858472051.63
Anvers,2048360679.18
Anvers,648698505.46
Anvers,1049728457.08
Anvers,1454751018.31
Anvers,748971653.23
Anvers,1440108656.6
Anvers,1193922262.3400002
Anvers,721420320.17
Anvers,595877024.67
Anvers,2658902059.3100004
Anvers,896220572.95
Anvers,1064080885.43
Anvers,955992505.93
Anvers,855117325.4300001
Anvers,825169427.6200001
Anvers,2846367622.73
Anvers,567088514.1400001
Anvers,882406289.6099999
Anvers,1820222672.09
Anvers,1175651115.8
Brabant flamand,2395854959.5499997
Brabant flamand,1978448590.8300002
Brabant flamand,164250572.14999998
Brabant flamand,3330201575.25
Brabant flamand,675121041.27
Brabant flamand,731864491.6800001
Brabant flamand,2933729128.35
Brabant flamand,2872504525.27
Brabant flamand,516807541.42999995
Brabant flamand,949468762.6600001
Brabant flamand,1031084332.45
Brabant flamand,761694019.88
Brabant flamand,930854201.56
Brabant flamand,1486716091.47
Brabant flamand,930434643.6500001
Brabant flamand,1670208069.2400002
Brabant flamand,1344818231.44
Brabant flamand,1125169159.08
Brabant flamand,2202743083.29
Brabant flamand,364584468.56
Brabant flamand,2268002112.39
Brabant flamand,966837164.1299999
Brabant flamand,1232779750.51
Brabant flamand,2824125040.19
Brabant flamand,2420508802.35
Brabant flamand,1992278342.42
Brabant flamand,924406356.1800001
Brabant flamand,342901734.33
Brabant flamand,1071181251.9900001
Brabant flamand,371254990.33
Brabant flamand,1612143799.02
Brabant flamand,1254601780.3
Brabant flamand,1177259742.1399999
Brabant flamand,761055845.6099999
Brabant flamand,1029771635.7
Brabant flamand,2306638711.87
Brabant flamand,801348125.3800001
Brabant flamand,490111782.72
Brabant flamand,871959261.3499999
Brabant flamand,919007765.9100001
Brabant flamand,1092406094.1899998
Brabant flamand,708336420.81
Brabant flamand,1788010254.7
Brabant flamand,424172728.9
Brabant flamand,1258237086.64
Brabant flamand,1970589608.03
Brabant flamand,553478509.48
Brabant flamand,864804596.1800001
Brabant flamand,834974453.3099998
Brabant flamand,1270920346.9
Brabant flamand,575979972.02
Brabant flamand,1693518505.6299999
Brabant flamand,1176369270.61
Brabant flamand,7665795244.7
Brabant flamand,1279931546.3700001
Brabant flamand,1082950023.0700002
Brabant flamand,1456874830.5600002
Brabant flamand,1951271741.4700003
Brabant flamand,2489783569.15
Brabant flamand,1225519174.11
Brabant flamand,619246081.65
Brabant flamand,539784923.5
Brabant flamand,1695998678.11
Brabant flamand,862276585.6999999
Brabant flamand,424682219.87
Brabant wallon,564020831.8
Brabant wallon,3085963399.6800003
Brabant wallon,807887040.31
Brabant wallon,1029074158.8199999
Brabant wallon,764086734.64
Brabant wallon,1204767758.99
Brabant wallon,1130819790.56
Brabant wallon,414989678.91999996
Brabant wallon,528204060.62
Brabant wallon,1028765899.58
Brabant wallon,613274518.53
Brabant wallon,637402876.3000001
Brabant wallon,2138687117.75
Brabant wallon,699746033.4200001
Brabant wallon,1862024304.7999997
Brabant wallon,1660779350.6
Brabant wallon,830953022.3699999
Brabant wallon,2529110710.1699996
Brabant wallon,2589323152.6
Brabant wallon,587863412.67
Brabant wallon,257365918.49
Brabant wallon,1308892988.19
Brabant wallon,642771932.6100001
Brabant wallon,2167422807.73
Brabant wallon,467135054.18
Brabant wallon,723968776.51
Brabant wallon,588752688.1600001
Flandre occidentale,1142310932.38
Flandre occidentale,1371659714.53
Flandre occidentale,8624114261.150002
Flandre occidentale,810630572.33
Flandre occidentale,1122361304.02
Flandre occidentale,1768817045.59
Flandre occidentale,1398526048.66
Flandre occidentale,1687312975.0400002
Flandre occidentale,206481777.90999997
Flandre occidentale,3203281012.67
Flandre occidentale,1088692300.05
Flandre occidentale,631198436.4300001
Flandre occidentale,571278225.39
Flandre occidentale,808579328.83
Flandre occidentale,198576616.39
Flandre occidentale,2310300056.96
Flandre occidentale,54079493.43
Flandre occidentale,1234695194.03
Flandre occidentale,1165679022.1599998
Flandre occidentale,817857540.8199999
Flandre occidentale,489588370.87
Flandre occidentale,522486482.96999997
Flandre occidentale,213634718.78
Flandre occidentale,1079460545.6100001
Flandre occidentale,681801884.89
Flandre occidentale,874394111.22
Flandre occidentale,1963403972.65
Flandre occidentale,5296416221.99
Flandre occidentale,913145503.94
Flandre occidentale,398028158.71
Flandre occidentale,2037001957.1599998
Flandre occidentale,2727629954.1899996
Flandre occidentale,2136998574.3899999
Flandre occidentale,1775738385.3200002
Flandre occidentale,133267531.35
Flandre occidentale,1248746310.94
Flandre occidentale,831448649.9499999
Flandre occidentale,933705424.6
Flandre occidentale,1382187584.23
Flandre occidentale,4692951828.129999
Flandre occidentale,671627675.6700001
Flandre occidentale,982087183.7099999
Flandre occidentale,684758283.2700001
Flandre occidentale,751611144.3
Flandre occidentale,1905999795.4299998
Flandre occidentale,625076583.41
Flandre occidentale,622241488.28
Flandre occidentale,742656794.92
Flandre occidentale,4275451764.25
Flandre occidentale,722436931.8599999
Flandre occidentale,582656175.8199999
Flandre occidentale,724280058.6700001
Flandre occidentale,524206008.82000005
Flandre occidentale,442162325.4700001
Flandre occidentale,373784587.14
Flandre occidentale,1389597243.01
Flandre occidentale,653135872.32
Flandre occidentale,1014830833.83
Flandre occidentale,620646474.92
Flandre occidentale,317928686.36
Flandre occidentale,779706689.0600001
Flandre occidentale,1944687733.46
Flandre occidentale,826874529.9599999
Flandre occidentale,818506667.9000001
Flandre orientale,6205573743.46
Flandre orientale,1386633372.44
Flandre orientale,2346891061.13
Flandre orientale,1424590699.98
Flandre orientale,1390051109.48
Flandre orientale,1454238137.77
Flandre orientale,2721758710.48
Flandre orientale,808401124.1600001
Flandre orientale,2091569352.27
Flandre orientale,1566400542.1000001
Flandre orientale,1103150423.1
Flandre orientale,1129175220.05
Flandre orientale,3295605739.0599995
Flandre orientale,1691410393.5
Flandre orientale,980635290.3800001
Flandre orientale,1408074567.3700001
Flandre orientale,917546638.45
Flandre orientale,1854868521.6299999
Flandre orientale,879202167.93
Flandre orientale,1382388158.6799998
Flandre orientale,1060239434.6899999
Flandre orientale,1441451321.48
Flandre orientale,492661517.89
Flandre orientale,1671968712.8599997
Flandre orientale,489370048.96
Flandre orientale,845216682.1099999
Flandre orientale,1021941228.98
Flandre orientale,1576449695.5900002
Flandre orientale,2691586967.2
Flandre orientale,1043111725.7299998
Flandre orientale,18028418142.12
Flandre orientale,1812740423.81
Flandre orientale,947004205.2600001
Flandre orientale,2064611494.2099998
Flandre orientale,489780177.54999995
Flandre orientale,961014555.39
Flandre orientale,1117714304.28
Flandre orientale,818354627.9999999
Flandre orientale,563639964.52
Flandre orientale,1123022602.3200002
Flandre orientale,3344060399.86
Flandre orientale,2221066498.05
Flandre orientale,1994728369.9299998
Flandre orientale,2327440474.2000003
Flandre orientale,1493822585.5
Flandre orientale,1078402438.2600002
Flandre orientale,486275345.01
Flandre orientale,503428504.5500001
Flandre orientale,167039262.82
Flandre orientale,494281958.03
Flandre orientale,495555173.58000004
Flandre orientale,629625910.47
Flandre orientale,1219000868.1100001
Flandre orientale,3789448414.18
Flandre orientale,1235396958.51
Flandre orientale,2885795091.0600004
Flandre orientale,1477602399.73
Flandre orientale,5115531908.049999
Flandre orientale,1395033497.1399999
Flandre orientale,2165736088.41
Hainaut,2001774118.4499998
