Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%),Population Density
685000,1180,APARTMENT,PENTHOUSE,JUST_RENOVATED,2,127.0,0,1.0,0.0,0.0,4.0,0.0,1.0,uccle,Brussels Capital,6.753670420082655,15.11322034409951,6243949366.289999,63.7,12.3,3631.0100609820233
289000,8680,APARTMENT,APARTMENT,JUST_RENOVATED,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0,koekelare,Other,100.20863285577782,15.597497278288415,571278225.39,72.2,5.4,222.5149651898572
259000,5030,HOUSE,HOUSE,GOOD,3,154.0,0,0.0,1.0,200.0,3.0,0.0,0.0,gembloux,Namur,40.21345811066455,21.345228344930845,1901851221.03,72.2,5.4,269.63767988706684
429210,9052,APARTMENT,APARTMENT,GOOD,2,100.0,1,1.0,0.0,0.0,3.0,0.0,1.0,gent,East Flanders,48.20069843274098,55.53455113572065,1990062227.7286024,72.2,5.4,
314000,1770,APARTMENT,APARTMENT,GOOD,2,96.0,1,1.0,0.0,0.0,4.0,0.0,1.0,liedekerke,Flemish Brabant,18.245163798922565,27.727545809988342,930854201.56,72.2,5.4,1306.6874583459587
229000,2500,HOUSE,HOUSE,GOOD,2,105.0,0,0.0,0.0,43.0,3.0,0.0,0.0,lier,Antwerp,34.5632405233937,9.544661264547504,1745305266.5072873,76.2,3.4,
260000,9620,HOUSE,HOUSE,GOOD,3,219.0,0,0.0,0.0,375.0,3.0,0.0,0.0,zottegem,East Flanders,39.43948800795363,48.80598210013554,2091569352.27,72.2,5.4,462.5804408279184
375000,1440,APARTMENT,PENTHOUSE,AS_NEW,2,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0,braine-le-château,Walloon Brabant,19.953388251426272,28.483023733199296,807887040.31,72.2,5.4,463.6581090854047
340000,2150,HOUSE,APARTMENT_BLOCK,TO_RENOVATE,4,270.0,0,0.0,0.0,156.0,2.0,0.0,0.0,borsbeek,Antwerp,39.10945711973576,1.901531243575537,726717170.4799999,76.2,3.4,2782.1716472255566
345000,8200,APARTMENT,APARTMENT,GOOD,2,81.0,0,0.0,0.0,0.0,2.0,0.0,0.0,brugge,Other,90.9910617861971,21.48014189986049,1754096553.2486956,72.2,5.4,
315000,9100,HOUSE,HOUSE,TO_BE_DONE_UP,4,145.0,0,0.0,0.0,401.0,4.0,0.0,0.0,sint-niklaas,East Flanders,37.42357952684203,21.38098854345812,5115531908.049999,72.2,5.4,
215000,2018,APARTMENT,APARTMENT,GOOD,1,53.0,1,0.0,0.0,0.0,2.0,0.0,0.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
560000,9000,HOUSE,HOUSE,GOOD,4,152.0,0,1.0,0.0,175.0,3.0,0.0,1.0,gent,East Flanders,49.65667099682047,53.842745493866346,1990062227.7286024,72.2,5.4,
395000,9100,APARTMENT,APARTMENT,GOOD,3,114.0,0,1.0,0.0,0.0,2.0,0.0,1.0,sint-niklaas,East Flanders,37.42357952684203,21.38098854345812,5115531908.049999,72.2,5.4,
389000,1140,APARTMENT,APARTMENT,AS_NEW,2,86.0,1,1.0,0.0,0.0,2.0,0.0,1.0,evere,Brussels Capital,4.533653109418182,6.381378085360022,2117015834.53,63.7,12.3,8143.161152424112
342000,9230,APARTMENT,DUPLEX,AS_NEW,2,172.0,1,1.0,0.0,0.0,2.0,0.0,0.0,wetteren,East Flanders,37.71369336903843,44.429727732639286,1854868521.63,72.2,5.4,697.4031020997871
383011,9800,HOUSE,HOUSE,AS_NEW,3,148.0,0,0.0,0.0,313.0,3.0,0.0,0.0,deinze,East Flanders,60.51636306308565,51.97510447972411,3344060399.86,72.2,5.4,340.3258098451427
219000,6880,APARTMENT,APARTMENT,AS_NEW,2,92.0,1,0.0,0.0,0.0,2.0,0.0,0.0,bertrix,Luxembourg,127.88113727822504,87.31283906472056,527564034.83,68.1,6.8,63.48663441004609
117500,8500,APARTMENT,APARTMENT,TO_RENOVATE,1,85.0,0,0.0,0.0,0.0,2.0,0.0,1.0,kortrijk,Other,75.60579498610886,52.78470177475659,1754096553.2486956,72.2,5.4,
525000,9000,HOUSE,MIXED_USE_BUILDING,AS_NEW,4,198.0,0,1.0,0.0,79.0,2.0,0.0,0.0,gent,East Flanders,49.65667099682047,53.842745493866346,1990062227.7286024,72.2,5.4,
260000,1140,APARTMENT,APARTMENT,GOOD,1,56.0,1,0.0,0.0,0.0,2.0,0.0,1.0,evere,Brussels Capital,4.533653109418182,6.381378085360022,2117015834.53,63.7,12.3,8143.161152424112
350000,9940,APARTMENT,APARTMENT,AS_NEW,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0,evergem,East Flanders,54.17875234325479,53.07939857820272,2691586967.2,72.2,5.4,470.1296264372031
219000,5000,APARTMENT,APARTMENT,GOOD,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0,namur,Namur,56.2298351066433,28.545138665413923,7230687098.650001,72.2,5.4,629.8076172786363
655000,1150,APARTMENT,APARTMENT,GOOD,3,170.0,1,1.0,0.0,0.0,2.0,0.0,1.0,woluwe-saint-pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3,4678.100930832918
400000,1180,APARTMENT,APARTMENT,AS_NEW,3,130.0,1,1.0,0.0,0.0,2.0,0.0,1.0,uccle,Brussels Capital,6.753670420082655,15.11322034409951,6243949366.289999,63.7,12.3,3631.0100609820233
295000,8000,HOUSE,HOUSE,GOOD,2,90.0,0,1.0,0.0,55.0,3.0,0.0,0.0,brugge,Other,90.61028614550884,23.99214769355588,1754096553.2486956,72.2,5.4,
415000,9090,APARTMENT,APARTMENT,JUST_RENOVATED,4,181.0,0,1.0,0.0,0.0,3.0,0.0,1.0,melle,East Flanders,42.33719687784548,49.42704980978451,947004205.26,72.2,5.4,765.1242094661825
222000,8400,APARTMENT,APARTMENT,GOOD,2,71.0,0,1.0,0.0,0.0,2.0,0.0,1.0,oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4,
199000,5500,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,dinant,Namur,79.46929302690562,40.633280761160975,770489849.02,72.2,5.4,134.43475821017734
329000,2640,APARTMENT,APARTMENT,AS_NEW,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,mortsel,Antwerp,36.867193181983495,1.6415506813235186,1940081113.26,76.2,3.4,3352.758668176708
315000,9600,HOUSE,HOUSE,GOOD,3,195.0,0,1.0,1.0,393.0,3.0,0.0,0.0,renaix,East Flanders,53.47722497364936,63.85448746995458,1493822585.5,72.2,5.4,762.8989167722775
100000,6041,HOUSE,HOUSE,TO_RENOVATE,3,91.0,0,1.0,0.0,65.0,2.0,0.0,0.0,charleroi,Hainaut,42.84637651615569,2.169081678295754,9552787098.79,68.1,6.8,1964.723429531124
610000,1330,APARTMENT,APARTMENT,AS_NEW,3,131.0,0,1.0,0.0,0.0,3.0,0.0,1.0,rixensart,Walloon Brabant,19.73442113755642,21.2589335157786,1862024304.8,72.2,5.4,1284.587349234814
335000,9900,APARTMENT,APARTMENT,GOOD,2,94.0,0,0.0,0.0,0.0,2.0,0.0,1.0,eeklo,East Flanders,67.1676972720925,48.689708353044544,1441451321.48,72.2,5.4,694.0768452824746
536500,9800,HOUSE,VILLA,AS_NEW,3,192.0,1,1.0,0.0,432.0,4.0,0.0,0.0,deinze,East Flanders,60.51636306308565,51.97510447972411,3344060399.86,72.2,5.4,340.3258098451427
536500,9800,HOUSE,VILLA,AS_NEW,3,192.0,1,1.0,0.0,432.0,4.0,0.0,0.0,deinze,East Flanders,60.51636306308565,51.97510447972411,3344060399.86,72.2,5.4,340.3258098451427
139000,8400,APARTMENT,APARTMENT,GOOD,1,61.0,0,1.0,0.0,0.0,2.0,0.0,1.0,oostende,Other,107.55120326561163,4.043747855309444,1754096553.2486956,72.2,5.4,
175000,1080,APARTMENT,APARTMENT,GOOD,1,71.0,0,1.0,0.0,0.0,2.0,0.0,1.0,molenbeek-saint-jean,Brussels Capital,2.399759810530328,12.726787855951292,3712648187.18,63.7,12.3,16228.482216805807
126000,2060,APARTMENT,FLAT_STUDIO,GOOD,1,44.0,0,0.0,0.0,0.0,2.0,0.0,1.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
295000,2000,APARTMENT,APARTMENT,GOOD,1,68.0,0,0.0,0.0,0.0,2.0,0.0,1.0,antwerpen,Antwerp,44.304951975245935,8.815715775312077,1745305266.5072873,76.2,3.4,
360000,9880,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,145.0,0,1.0,0.0,0.0,2.0,0.0,1.0,aalter,East Flanders,70.56730717982146,41.02700094780928,2221066498.05,72.2,5.4,241.17957219202705
410000,1050,APARTMENT,APARTMENT,GOOD,2,90.0,1,0.0,0.0,0.0,4.0,0.0,0.0,ixelles,Brussels Capital,3.5845342591583096,11.578489606927366,5446918872.59,63.7,12.3,13560.51149582544
495000,1160,APARTMENT,APARTMENT,AS_NEW,2,94.0,1,1.0,0.0,0.0,2.0,0.0,1.0,auderghem,Brussels Capital,7.524146120309382,10.651500489762531,2398313969.96,63.7,12.3,3791.0050872562015
379900,9280,HOUSE,HOUSE,AS_NEW,4,172.0,0,0.0,0.0,679.0,4.0,0.0,0.0,lebbeke,East Flanders,21.926629841998444,26.38515361087713,1408074567.37,72.2,5.4,707.596464266342
389000,1601,HOUSE,HOUSE,GOOD,3,160.0,1,1.0,0.0,200.0,2.0,0.0,0.0,sint-pieters-leeuw,Flemish Brabant,8.238338908916507,18.48052297930592,2268002112.39,72.2,5.4,841.7189431395835
