TX_MUNTY_DESCR_FR,total_income
Aalter,2221066498.05
Aarschot,2306638711.87
Aartselaar,1197960975.5600002
Affligem,1029771635.7
Aiseau-Presles,620787475.4899999
Alken,865524744.0799999
Alost,6205573743.46
Alveringem,317928686.36
Amay,879217193.8799999
Amblève,351972862.62
Andenne,1727790716.0299997
Anderlecht,5087915558.78
Anderlues,696800640.31
Anhée,455221821.0899999
Ans,1651765211.96
Anthisnes,304892030.36
Antoing,442386402.35
Anvers,30838032851.839996
Anzegem,1079460545.6100001
Ardooie,620646474.92
Arendonk,864827144.2900001
Arlon,2326309741.49
As,574223641.0699999
Asse,2395854959.5499997
Assenede,1060239434.6899999
Assesse,520334698.68999994
Ath,2001774118.4499998
Attert,514642173.55999994
Aubange,1028533769.9399999
Aubel,292442264.38
Audenarde,2327440474.2000003
Auderghem,2398313969.96
Avelgem,681801884.89
Awans,641831204.25
Aywaille,832289785.18
Baelen,300015671.67
Baerle-Duc,180043835.86
Balen,1582459859.0
Bassenge,582830702.98
Bastogne,1021219109.8199999
Beaumont,440478662.57
Beauraing,540153085.55
Beauvechain,564020831.8
Beernem,1142310932.38
Beerse,1350258951.8799999
Beersel,1978448590.8300002
Begijnendijk,801348125.3800001
Bekkevoort,490111782.72
Beloeil,879351368.1100001
Berchem-Sainte-Agathe,1358110088.7099998
Beringen,2984997617.77
Berlaar,839556497.2600002
Berlare,1103150423.1
Berloz,233457921.7
Bernissart,710153170.1700001
Bertem,871959261.3499999
Bertogne,228071706.41000003
Bertrix,527564034.83
Beveren,3789448414.18
Beyne-Heusay,695626344.52
Bierbeek,919007765.9100001
Bilzen,2209210586.66
Binche,1972885859.25
Bièvre,193190097.59
Biévène,164250572.14999998
Blankenberge,1371659714.53
Blegny,941798963.55
Bocholt,850146140.96
Boechout,1118282921.71
Bonheiden,1372228898.28
Boom,1157248873.6799998
Boortmeerbeek,1092406094.1899998
Bornem,1720662691.9499998
Borsbeek,726717170.4799999
Bouillon,312962093.44
Bourg-Léopold,1029723199.1499999
Boussu,1010132493.54
Boutersem,708336420.81
Braine-le-Château,807887040.31
Braine-le-Comte,1516778358.3
Braine-l’Alleud,3085963399.6800003
Braives,453490661.6600001
Brakel,1078402438.2600002
Brasschaat,3054359109.63
Brecht,2276922339.0099998
Bredene,1248746310.94
Bree,1085094077.49
Brugelette,243606986.63
Bruges,8624114261.150002
Brunehaut,511177047.04999995
Bruxelles,8944820813.830002
Buggenhout,1129175220.05
Bullange,353603269.42999995
Burdinne,247637549.85000002
Burg-Reuland,255526072.08
Butgenbach,350420703.95
Celles,354730655.14
Cerfontaine,310191026.06
Chapelle-lez-Herlaimont,854035352.9100001
Charleroi,9552787098.79
Chastre,587863412.67
Chaudfontaine,1684295178.4400003
Chaumont-Gistoux,1029074158.8199999
Chimay,542286206.95
Chiny,323181056.85
Chièvres,445667157.46000004
Châtelet,1779611348.3099997
Ciney,1073816180.4199998
Clavier,332118167.61
Colfontaine,989548703.1099999
Comblain-au-Pont,316640589.01
Comines-Warneton,960370974.9799998
Courcelles,1733263961.76
Court-Saint-Etienne,764086734.64
Courtrai,5296416221.99
Couvin,766512887.82
Crisnée,260240519.74000004
Dalhem,550730763.29
Damme,810630572.33
Daverdisse,79314674.09
De Haan,982087183.7099999
De Pinte,1021941228.98
Deerlijk,874394111.22
Deinze,3344060399.86
Denderleeuw,1386633372.44
Dentergem,582656175.8199999
Dessel,645733693.8900001
Destelbergen,1576449695.5900002
Diepenbeek,1377532687.04
Diest,1788010254.7
Dilbeek,3330201575.25
Dilsen-Stokkem,1319822025.39
Dinant,770489849.02
Dison,660918260.07
Dixmude,1088692300.05
Doische,172365217.79999998
Donceel,246403887.03000003
Dour,898463077.86
Drogenbos,342901734.33
Duffel,1342729895.67
Durbuy,692734970.54
Ecaussinnes,729278494.86
Edegem,1817373977.1499999
Eeklo,1441451321.48
Eghezée,1197916332.23
Ellezelles,407475677.87000006
Enghien,968789064.8000001
Engis,355743031.58
Erezée,210059584.13
Erpe-Mere,1566400542.1000001
Erquelinnes,546761235.8000001
Esneux,1005703978.25
Espierres-Helchin,133267531.35
Essen,1313272826.6100001
Estaimpuis,645111323.64
Estinnes,513320038.30999994
Etalle,457942059.75999993
Etterbeek,2675479351.59
Eupen,1260380341.75
Evere,2117015834.5299997
Evergem,2691586967.2
Faimes,307836673.68
Farciennes,489178328.20000005
Fauvillers,157866791.34
Fernelmont,601013310.48
Ferrières,347662011.93
Fexhe-le-Haut-Clocher,243757246.34
Fleurus,1313333119.42
Flobecq,232369906.97
Floreffe,566638344.15
Florennes,683553478.8
Florenville,343069866.71000004
Flémalle,1550234734.95
Fléron,1011466282.81
Fontaine-l’Evêque,1013496765.0200001
Forest,3051483768.2200003
Fosses-la-Ville,671541665.53
Fourons,288143926.17999995
Frameries,1196631555.4499998
Frasnes-lez-Anvaing,801178718.6500001
Froidchapelle,234317738.43999997
Furnes,818506667.9000001
Gammerages,675121041.27
Gand,18028418142.12
