Feature,Importance
Price_log,97.62110021399344
price_per_facade,1.5310910759572374
Living_Area_log,0.22062899661829646
amenities_count,0.16944806887189418
price_per_room,0.09592139399665223
price_per_m2,0.09115446006669799
Number_of_Facades,0.06748598384238498
Distance_to_Nearest_Airport,0.0383460953167604
total_income,0.03345555557511845
Province,0.026012100461892014
Employment Rate (%),0.02228554385878483
Living_Area_Rooms_interaction,0.02148536355495779
State_of_the_Building,0.02103828128048619
Locality,0.01649293211570474
Living_Area,0.005692413566816421
Number_of_Rooms,0.004480618703710878
median_Living_Area_per_province,0.0032385886965137214
Garden,0.003178515182581994
Distance_to_Brussels,0.00224223468645963
Terrace,0.0015111729518186062
avg_price_per_locality,0.0012279189826372185
Surface_area_plot_of_land,0.001197160163757734
Unemployment Rate (%),0.0005582837409056324
Subtype_of_Property,0.0004943568150699932
Fully_Equipped_Kitchen,0.00012468816888672608
Lift,6.657733246958421e-05
Swimming_Pool,2.9962459173746835e-05
Municipality,1.1443038805162605e-05
Type_of_Property,0.0
