Feature,Importance
price_per_facade,67.40612507338484
Number_of_Facades,28.735046004037837
price_per_room,2.2089530156919106
Living_Area_log,0.46136453231927027
Number_of_Rooms,0.4435224406702494
price_per_m2,0.31036595069614664
Living_Area_Rooms_interaction,0.21610460171882637
Living_Area,0.07889207885150816
Surface_area_plot_of_land,0.0376999405761714
Province,0.03760189519918087
avg_price_per_locality,0.016661588533728018
State_of_the_Building,0.016609116251372805
total_income,0.007550384322344096
Distance_to_Brussels,0.00489275204301288
Subtype_of_Property,0.004555605701597216
median_Living_Area_per_province,0.004162533560081739
Distance_to_Nearest_Airport,0.0030819689146727313
Terrace,0.002731086599737231
Municipality,0.001123970710278828
Lift,0.0010156522489995262
amenities_count,0.000958579431864387
Type_of_Property,0.0004909510470915704
Garden,0.00026587928438335243
Locality,0.00016367480126849133
Employment Rate (%),5.2005293635847355e-05
Swimming_Pool,7.0090152975046496e-06
Unemployment Rate (%),1.7090946741566903e-06
Fully_Equipped_Kitchen,0.0
