iter	RMSE
0	0.4013204825
1	0.399649847
2	0.3981602155
3	0.3966425599
4	0.3949886878
5	0.3935093617
6	0.3919669586
7	0.3904761466
8	0.3888760812
9	0.3872098298
10	0.3855823913
11	0.3841116862
12	0.3825821143
13	0.3810566259
14	0.3794991528
15	0.3780131727
16	0.3765658442
17	0.3751786797
18	0.3736873571
19	0.3723052023
20	0.3708318663
21	0.3694016339
22	0.3680699838
23	0.366692834
24	0.3653403964
25	0.3640752316
26	0.3627187623
27	0.3613462196
28	0.3601022207
29	0.3588548385
30	0.3575410033
31	0.3562329451
32	0.3550521068
33	0.3538147428
34	0.3525997503
35	0.3513111743
36	0.3501249853
37	0.3489479024
38	0.3477719153
39	0.3466015503
40	0.3455129288
41	0.3444778342
42	0.3433785337
43	0.3423032537
44	0.3411712788
45	0.340092471
46	0.3390401533
47	0.3380140931
48	0.3369701847
49	0.3359484507
50	0.3349096066
51	0.3339134402
52	0.332928052
53	0.3319455983
54	0.3310605872
55	0.3301090308
56	0.3291223625
57	0.3282181498
58	0.3273315028
59	0.3264140164
60	0.3255249088
61	0.3246489831
62	0.3238145923
63	0.3229723587
64	0.3221649845
65	0.3213383871
66	0.3204738341
67	0.319599392
68	0.3188108112
69	0.3180209062
70	0.3171890393
71	0.3163890715
72	0.3156087497
73	0.3148365126
74	0.3141042705
75	0.3133653404
76	0.3125996403
77	0.3119128912
78	0.3112192521
79	0.3105776016
80	0.3098908796
81	0.3091835513
82	0.3084573842
83	0.3078183045
84	0.3070950169
85	0.3064333482
86	0.3057842384
87	0.3051192925
88	0.3044672099
89	0.3038418951
90	0.3031816003
91	0.3025328179
92	0.3018973548
93	0.3012664281
94	0.300629476
95	0.300090004
96	0.2995166481
97	0.2989267966
98	0.2983387473
99	0.2977075682
100	0.2971429222
101	0.2965785418
102	0.2960837578
103	0.2955620461
104	0.2950667283
105	0.2944943665
106	0.2939775537
107	0.2934268235
108	0.2928996606
109	0.2923928563
110	0.2919044907
111	0.2912930868
112	0.2907899711
113	0.2902603001
114	0.2896875314
115	0.289108646
116	0.2885647489
117	0.2880379236
118	0.2875063945
119	0.2870018373
120	0.2864513143
121	0.2859156774
122	0.2853748921
123	0.2848331688
124	0.2842982869
125	0.2837898793
126	0.2833309747
127	0.2827993492
128	0.2823321619
129	0.2818520142
130	0.2813559143
131	0.2808564525
132	0.2804224443
133	0.2799580944
134	0.2794649593
135	0.279042256
136	0.2786086246
137	0.2781467407
138	0.2777328293
139	0.2772854089
140	0.276886255
141	0.2764586813
142	0.2760438476
143	0.2756548708
144	0.275250459
145	0.2748563141
146	0.2744641736
147	0.27405015
148	0.2736662335
149	0.2732732182
150	0.2728779951
151	0.2724857137
152	0.2721099986
153	0.2717257152
154	0.2713737384
155	0.2710004016
156	0.2706654875
157	0.2703183109
158	0.2699612526
159	0.2696112705
160	0.2692895456
161	0.2689390714
162	0.26861895
163	0.2682818915
164	0.2679424265
165	0.2676127802
166	0.2672793382
167	0.2669320037
168	0.266647376
169	0.2663432642
170	0.2660289519
171	0.2657300378
172	0.2654243474
173	0.2651412901
174	0.264868548
175	0.2645841709
176	0.2642946426
177	0.264007028
178	0.2637175834
179	0.2634120743
180	0.2630747788
181	0.2627795397
182	0.2624759559
183	0.262173117
184	0.2618821661
185	0.2616292961
186	0.2613401323
187	0.2610788484
188	0.260831277
189	0.2605724598
190	0.2602798254
191	0.2600348385
192	0.2597624248
193	0.259494532
194	0.25925836
195	0.2590199817
196	0.2587716092
197	0.2584877785
198	0.2581689901
199	0.2578797008
200	0.2575914847
201	0.2573393879
202	0.2570600254
203	0.2568044526
204	0.256549305
205	0.2563004866
206	0.2560817541
207	0.2558313372
208	0.2555979198
209	0.2553303344
210	0.2551188968
211	0.2548505293
212	0.2545944538
213	0.254367338
214	0.2541069484
215	0.2538621784
216	0.2536184038
217	0.2533951747
218	0.2531757055
219	0.2529406238
220	0.25272026
221	0.2525059521
222	0.252273931
223	0.2520856598
224	0.251885694
225	0.2516734276
226	0.2514541793
227	0.2512308581
228	0.2510382589
229	0.2508371712
230	0.2506753825
231	0.2504783712
232	0.2502974706
233	0.2500896787
234	0.2499328776
235	0.2497095183
236	0.2495249072
237	0.2493225632
238	0.2491270877
239	0.2489121865
240	0.2487146624
241	0.24853334
242	0.2483646547
243	0.2482243835
244	0.2480496552
245	0.2478557191
246	0.247684684
247	0.2475119965
248	0.2473318791
249	0.2471352675
250	0.2469685538
251	0.2468206155
252	0.2466387319
253	0.246490048
254	0.2463452716
255	0.2461811428
256	0.2460339621
257	0.2458537875
258	0.2457311712
259	0.2455660276
260	0.2453980293
261	0.245215307
262	0.2450706575
263	0.2449134538
264	0.2447888329
265	0.2446222672
266	0.2444497843
267	0.244310046
268	0.2441780681
269	0.2440445635
270	0.2438955311
271	0.2437543426
272	0.2436234511
273	0.2434646614
274	0.2433201772
275	0.2431967436
276	0.2430836467
277	0.242966627
278	0.2428457838
279	0.242696578
280	0.2425656254
281	0.2424228454
282	0.2422883802
283	0.2421575885
284	0.2420139126
285	0.2418879566
286	0.2417865607
287	0.2416534182
288	0.2415494063
289	0.2414226854
290	0.2412682435
291	0.2411420311
292	0.2410089759
293	0.2409106406
294	0.2408083897
295	0.2407050381
296	0.2405809865
297	0.2404502974
298	0.240335821
299	0.240202035
300	0.2401005368
301	0.2399804541
302	0.2398803831
303	0.2397419335
304	0.2396318143
305	0.2395344612
306	0.2394495109
307	0.2393343252
308	0.2391959345
309	0.2390780496
310	0.238975397
311	0.2388738347
312	0.2387694548
313	0.2386420396
314	0.2385185081
315	0.2383932967
316	0.2382663
317	0.2381412263
318	0.2380319728
319	0.2379134285
320	0.2378006461
321	0.2376868824
322	0.2375553048
323	0.2374614543
324	0.2373258499
325	0.2372043066
326	0.2370861553
327	0.2369515283
328	0.236843622
329	0.2367508875
330	0.2366204427
331	0.2365020587
332	0.236419868
333	0.2363157395
334	0.2362208971
335	0.2360940386
336	0.2360170267
337	0.2359135174
338	0.2358101887
339	0.2357172126
340	0.2356033062
341	0.2354923084
342	0.2354126435
343	0.2353047339
344	0.235235507
345	0.2351641924
346	0.2350519068
347	0.2349252267
348	0.2348213078
349	0.2347084097
350	0.2346064822
351	0.2345050501
352	0.2344194096
353	0.2342978442
354	0.2342229709
355	0.2341424063
356	0.2340586656
357	0.2339808892
358	0.2338574221
359	0.2337606162
360	0.2336879692
361	0.2335926938
362	0.2334862497
363	0.2333951944
364	0.2333111864
365	0.2332242923
366	0.233137742
367	0.2330657784
368	0.2329736606
369	0.2329053688
370	0.232816134
371	0.2326944043
372	0.232586069
373	0.2325037705
374	0.2324382028
375	0.2323560412
376	0.2322862412
377	0.2322135219
378	0.2321468648
379	0.2320535983
380	0.231984203
381	0.2318835974
382	0.2317775553
383	0.2317024436
384	0.2316175281
385	0.2315321845
386	0.2314479904
387	0.2313666631
388	0.2312968697
389	0.2312488387
390	0.2311813554
391	0.2311096479
392	0.2310374915
393	0.2309774182
394	0.2308988843
395	0.2308348438
396	0.2307654458
397	0.2306910504
398	0.2306038761
399	0.2305269454
400	0.2304717886
401	0.2304019235
402	0.2303374934
403	0.2302461147
404	0.2301837111
405	0.2301148746
406	0.2300435088
407	0.2299941486
408	0.2299103334
409	0.2298403191
410	0.2297887311
