iter	Passed	Remaining
0	170	852657
1	211	527600
2	243	406002
3	276	345741
4	309	308693
5	344	287071
6	378	269727
7	410	255963
8	443	245884
9	478	238881
10	512	232434
11	546	227031
12	580	222791
13	616	219632
14	654	217605
15	694	216421
16	729	213846
17	763	211280
18	798	209268
19	832	207305
20	867	205638
21	900	203760
22	934	202187
23	970	201297
24	1007	200419
25	1041	199294
26	1076	198296
27	1112	197487
28	1150	197135
29	1185	196382
30	1223	196123
31	1259	195490
32	1296	195192
33	1332	194687
34	1372	194650
35	1411	194667
36	1447	194182
37	1485	193958
38	1524	193864
39	1561	193650
40	1600	193636
41	1639	193571
42	1676	193243
43	1719	193625
44	1766	194515
45	1811	195121
46	1855	195589
47	1897	195722
48	1938	195895
49	1977	195775
50	2013	195390
51	2048	194904
52	2088	194986
53	2124	194630
54	2162	194389
55	2202	194491
56	2238	194125
57	2275	193897
58	2316	193996
59	2355	193933
60	2390	193579
61	2423	193022
62	2457	192605
63	2491	192175
64	2524	191653
65	2556	191151
66	2591	190840
67	2625	190451
68	2661	190206
69	2697	190011
70	2732	189678
71	2766	189318
72	2801	189081
73	2838	188921
74	2876	188908
75	2912	188667
76	2945	188333
77	2981	188141
78	3016	187912
79	3053	187775
80	3087	187513
81	3121	187215
82	3156	187004
83	3191	186802
84	3226	186585
85	3260	186328
86	3295	186124
87	3331	185983
88	3366	185735
89	3401	185593
90	3437	185451
91	3472	185230
92	3507	185055
93	3541	184812
94	3574	184558
95	3617	184795
96	3663	185161
97	3708	185516
98	3744	185394
99	3780	185244
100	3818	185205
101	3854	185081
102	3892	185047
103	3937	185373
104	3979	185514
105	4016	185439
106	4051	185267
107	4085	185080
108	4120	184883
109	4155	184718
110	4191	184597
111	4226	184444
112	4260	184274
113	4297	184201
114	4337	184231
115	4374	184182
116	4411	184123
117	4449	184096
118	4484	183920
119	4517	183720
120	4554	183634
121	4587	183414
122	4620	183205
123	4654	183029
124	4692	183014
125	4725	182810
126	4758	182592
127	4794	182507
128	4831	182434
129	4865	182264
130	4899	182109
131	4932	181921
132	4967	181785
133	5006	181812
134	5046	181867
135	5083	181813
136	5117	181635
137	5151	181498
138	5187	181428
139	5222	181303
140	5257	181163
141	5291	181013
142	5326	180908
143	5360	180780
144	5397	180709
145	5430	180545
146	5463	180355
147	5498	180266
148	5531	180094
149	5564	179913
150	5597	179765
151	5632	179657
152	5667	179545
153	5701	179403
154	5735	179269
155	5768	179111
156	5802	178993
157	5837	178880
158	5873	178812
159	5912	178843
160	5951	178876
161	5985	178765
162	6020	178656
163	6054	178539
164	6092	178514
165	6132	178577
166	6167	178499
167	6205	178493
168	6240	178393
169	6277	178361
170	6312	178265
171	6346	178146
172	6380	178036
173	6415	177946
174	6457	178040
175	6490	177906
176	6524	177793
177	6558	177663
178	6594	177615
179	6629	177524
180	6663	177413
181	6697	177311
182	6731	177197
183	6765	177080
184	6802	177043
185	6834	176895
186	6869	176796
187	6901	176653
188	6935	176535
189	6969	176446
190	7005	176376
191	7039	176276
192	7074	176209
193	7109	176123
194	7145	176070
195	7185	176122
196	7221	176073
197	7257	176018
198	7296	176035
199	7332	175980
200	7367	175899
201	7404	175872
202	7438	175776
203	7478	175809
204	7512	175723
205	7547	175635
206	7581	175544
207	7615	175446
208	7649	175360
209	7685	175294
210	7717	175168
211	7750	175042
212	7784	174959
213	7819	174879
214	7854	174817
215	7888	174725
216	7921	174595
217	7957	174555
218	7995	174541
219	8031	174492
220	8064	174394
221	8097	174277
222	8131	174182
223	8165	174107
224	8199	174011
225	8234	173943
226	8274	173990
227	8311	173965
228	8348	173933
229	8383	173864
230	8419	173825
231	8452	173705
232	8486	173630
233	8524	173631
234	8560	173575
235	8595	173516
236	8631	173461
237	8664	173369
238	8701	173328
239	8734	173232
240	8768	173143
241	8803	173089
242	8838	173024
243	8872	172948
244	8907	172869
245	8940	172767
246	8975	172714
247	9010	172653
248	9045	172593
249	9080	172534
250	9114	172440
251	9148	172368
252	9183	172313
253	9219	172264
254	9255	172217
255	9291	172179
256	9328	172168
257	9370	172228
258	9405	172175
259	9443	172153
260	9478	172102
261	9512	172025
262	9554	172094
263	9591	172060
264	9626	172003
265	9662	171964
266	9698	171925
267	9734	171886
