Feature,Importance
Price_log,97.54122389136816
price_per_facade,1.59111943171225
price_per_room,0.1945955268346268
Province,0.13547425718806255
Number_of_Facades,0.12165418467636965
avg_price_per_locality,0.08417855711192665
price_per_m2,0.048116999731823595
State_of_the_Building,0.046043848246783155
median_Living_Area_per_province,0.03943526363950364
Living_Area_log,0.029343865734914584
Number_of_Rooms,0.027953998009678006
total_income,0.02530161257485043
Subtype_of_Property,0.02061918087677963
Distance_to_Brussels,0.017180589145460952
Employment Rate (%),0.0156555903229503
Living_Area_Rooms_interaction,0.013134669762374436
amenities_count,0.011841330811113469
Living_Area,0.01056618271343032
Surface_area_plot_of_land,0.010170119875321655
Unemployment Rate (%),0.007368939892390318
Lift,0.002691163003880649
Distance_to_Nearest_Airport,0.0022719661605256443
Fully_Equipped_Kitchen,0.0014542982814885535
Garden,0.001060306043862387
Type_of_Property,0.0005285564567539427
Terrace,0.0004259570768950492
Swimming_Pool,0.00039816672004953045
Municipality,0.00014502984309319234
Locality,4.6516184679241084e-05
